solar_absorptivity,thermal_absorptivity,sri
0.5,0.25,29.1678
0.5,0.3,32.2061
0.5,0.35,35.0594
0.5,0.4,37.7543
0.5,0.45,40.317
0.5,0.5,42.7477
0.5,0.55,45.0462
0.5,0.6,47.2127
0.5,0.65,49.2999
0.5,0.7,51.2814
0.5,0.75,53.1836
0.5,0.8,55.0066
0.5,0.85,56.7503
0.5,0.9,58.4148
0.5,0.95,60.0
0.5,1.0,61.5324
0.55,0.0,0.0
0.55,0.05,4.2008
0.55,0.1,8.5865
0.55,0.15,12.6552
0.55,0.2,16.4333
0.55,0.25,19.9736
0.55,0.3,23.2761
0.55,0.35,26.3937
0.55,0.4,29.3263
0.55,0.45,32.1004
0.55,0.5,34.716
0.55,0.55,37.2259
0.55,0.6,39.5773
0.55,0.65,41.8494
0.55,0.7,43.9894
0.55,0.75,46.0502
0.55,0.8,48.0053
0.55,0.85,49.8811
0.55,0.9,51.6777
0.55,0.95,53.4214
0.55,1.0,55.0859
0.6,0.0,0.0
0.6,0.05,0.0
0.6,0.1,0.0
0.6,0.15,2.8534
0.6,0.2,6.9749
0.6,0.25,10.8058
0.6,0.3,14.3989
0.6,0.35,17.7807
0.6,0.4,20.9511
0.6,0.45,23.9366
0.6,0.5,26.7635
0.6,0.55,29.4584
0.6,0.6,32.0211
0.6,0.65,34.4518
0.6,0.7,36.7503
0.6,0.75,38.9696
0.6,0.8,41.0832
0.6,0.85,43.0911
0.6,0.9,45.0198
0.6,0.95,46.8692
0.6,1.0,48.6658
0.65,0.0,0.0
0.65,0.05,0.0
0.65,0.1,0.0
0.65,0.15,0.0
0.65,0.2,0.0
0.65,0.25,1.6909
0.65,0.3,5.5746
0.65,0.35,9.1942
0.65,0.4,12.6288
0.65,0.45,15.852
0.65,0.5,18.8904
0.65,0.55,21.7701
0.65,0.6,24.4914
0.65,0.65,27.107
0.65,0.7,29.5905
0.65,0.75,31.9419
0.65,0.8,34.1876
0.65,0.85,36.354
0.65,0.9,38.4148
0.65,0.95,40.3963
0.65,1.0,42.2985
0.7,0.0,0.0
0.7,0.05,0.0
0.7,0.1,0.0
0.7,0.15,0.0
0.7,0.2,0.0
0.7,0.25,0.0
0.7,0.3,0.0
0.7,0.35,0.6869
0.7,0.4,4.3329
0.7,0.45,7.7939
0.7,0.5,11.0436
0.7,0.55,14.1347
0.7,0.6,17.041
0.7,0.65,19.8151
0.7,0.7,22.4571
0.7,0.75,24.967
0.7,0.8,27.3712
0.7,0.85,29.6697
0.7,0.9,31.889
0.7,0.95,33.9762
0.7,1.0,36.0106
0.75,0.0,0.0
0.75,0.05,0.0
0.75,0.1,0.0
0.75,0.15,0.0
0.75,0.2,0.0
0.75,0.25,0.0
0.75,0.3,0.0
0.75,0.35,0.0
0.75,0.4,0.0
0.75,0.45,0.0
0.75,0.5,3.2761
0.75,0.55,6.5522
0.75,0.6,9.6433
0.75,0.65,12.6024
0.75,0.7,15.4029
0.75,0.75,18.0713
0.75,0.8,20.6341
0.75,0.85,23.0647
0.75,0.9,25.3897
0.75,0.95,27.6354
0.75,1.0,29.7754
0.8,0.0,0.0
0.8,0.05,0.0
0.8,0.1,0.0
0.8,0.15,0.0
0.8,0.2,0.0
0.8,0.25,0.0
0.8,0.3,0.0
0.8,0.35,0.0
0.8,0.4,0.0
0.8,0.45,0.0
0.8,0.5,0.0
0.8,0.55,0.0
0.8,0.6,2.325
0.8,0.65,5.4425
0.8,0.7,8.4016
0.8,0.75,11.2285
0.8,0.8,13.9234
0.8,0.85,16.4861
0.8,0.9,18.9696
0.8,0.95,21.321
0.8,1.0,23.5667
0.85,0.0,0.0
0.85,0.05,0.0
0.85,0.1,0.0
0.85,0.15,0.0
0.85,0.2,0.0
0.85,0.25,0.0
0.85,0.3,0.0
0.85,0.35,0.0
0.85,0.4,0.0
0.85,0.45,0.0
0.85,0.5,0.0
0.85,0.55,0.0
0.85,0.6,0.0
0.85,0.65,0.0
0.85,0.7,1.4531
0.85,0.75,4.4386
0.85,0.8,7.2919
0.85,0.85,9.9868
0.85,0.9,12.576
0.85,0.95,15.0594
0.85,1.0,17.4373
0.9,0.0,0.0
0.9,0.05,0.0
0.9,0.1,0.0
0.9,0.15,0.0
0.9,0.2,0.0
0.9,0.25,0.0
0.9,0.3,0.0
0.9,0.35,0.0
0.9,0.4,0.0
0.9,0.45,0.0
0.9,0.5,0.0
0.9,0.55,0.0
0.9,0.6,0.0
0.9,0.65,0.0
0.9,0.7,0.0
0.9,0.75,0.0
0.9,0.8,0.6869
0.9,0.85,3.5403
0.9,0.9,6.2616
0.9,0.95,8.8771
0.9,1.0,11.3606
0.95,0.0,0.0
0.95,0.05,0.0
0.95,0.1,0.0
0.95,0.15,0.0
0.95,0.2,0.0
0.95,0.25,0.0
0.95,0.3,0.0
0.95,0.35,0.0
0.95,0.4,0.0
0.95,0.45,0.0
0.95,0.5,0.0
0.95,0.55,0.0
0.95,0.6,0.0
0.95,0.65,0.0
0.95,0.7,0.0
0.95,0.75,0.0
0.95,0.8,0.0
0.95,0.85,0.0
0.95,0.9,0.0
0.95,0.95,2.7213
0.95,1.0,5.3369
1.0,0.0,0.0
1.0,0.05,0.0
1.0,0.1,0.0
1.0,0.15,0.0
1.0,0.2,0.0
1.0,0.25,0.0
1.0,0.3,0.0
1.0,0.35,0.0
1.0,0.4,0.0
1.0,0.45,0.0
1.0,0.5,0.0
1.0,0.55,0.0
1.0,0.6,0.0
1.0,0.65,0.0
1.0,0.7,0.0
1.0,0.75,0.0
1.0,0.8,0.0
1.0,0.85,0.0
1.0,0.9,0.0
1.0,0.95,0.0
1.0,1.0,0.0
